0.0.0.0,0.255.255.255,IANA  
1.0.0.0,1.0.0.0,IANA  
1.0.0.1,1.255.255.255,美国  
10.0.0.0,10.255.255.255,局域网 对方和您在同一内部网
102.0.0.0,112.63.162.115,欧洲  
11.0.0.0,11.255.255.255,美国 DoD网络信息中心
112.63.162.116,112.63.162.119,西班牙  
112.63.162.120,112.63.162.123,法国  
112.63.162.124,112.63.162.147,欧洲  
112.63.162.148,112.63.162.151,比利时  
112.63.162.152,121.63.163.143,欧洲  
12.0.0.0,12.0.47.255,美国 ATT用户
12.0.48.0,12.0.63.255,哈佛大学  
12.0.64.0,12.2.168.255,美国 ATT用户
12.107.33.192,12.107.33.255,美国 Lenoir-Rhyne College
12.107.34.0,12.111.69.127,美国 ATT用户
12.11.139.0,12.11.139.255,美国 南佛蒙特学院
12.11.140.0,12.13.176.127,美国 ATT用户
12.111.69.128,12.111.69.255,美国 Springfield College
12.111.70.0,12.151.129.255,美国 ATT用户
12.13.176.128,12.13.176.255,美国 Spelman College
12.13.177.0,12.16.215.255,美国 ATT用户
12.151.130.0,12.151.130.255,美国 STONEHILL College
12.151.131.0,12.153.51.255,美国 ATT用户
12.153.52.0,12.153.55.255,美国 哥伦比亚联合学院
12.153.56.0,12.154.115.255,美国 ATT用户
12.154.116.0,12.154.117.255,美国 BARBOURVILLE UTILITIES
12.154.118.0,12.154.159.255,美国 ATT用户
12.154.160.0,12.154.160.255,美国 Salve Regina University
12.154.161.0,12.159.255.255,美国 ATT用户
12.16.216.0,12.16.219.255,美国 太平洋联合学院
12.16.220.0,12.19.229.255,美国 ATT用户
12.160.0.0,12.160.255.255,美国 新泽西
12.161.0.0,12.168.120.255,美国 ATT用户
12.168.121.0,12.168.121.255,美国 CARILION HEALTH SYSTEM
12.168.122.0,12.175.95.255,美国 ATT用户
12.175.96.0,12.175.96.7,耶鲁大学  
12.175.96.8,12.255.255.255,美国 ATT用户
12.19.230.0,12.19.230.255,美国 Houghton College
12.19.231.0,12.22.84.255,美国 ATT用户
12.2.169.0,12.2.169.255,美国 Leepfrog Technologies
12.2.170.0,12.3.133.255,美国 ATT用户
12.22.178.0,12.22.179.255,美国 First Technology Solutions
12.22.180.0,12.25.238.223,美国 ATT用户
12.22.85.0,12.22.85.255,美国 新泽西
12.22.86.0,12.22.177.255,美国 ATT用户
12.25.238.224,12.25.238.255,美国 InFlow-STL01
12.25.239.0,12.38.253.255,美国 ATT用户
12.3.134.0,12.3.135.255,美国 Lycoming College
12.3.136.0,12.5.176.239,美国 ATT用户
12.38.254.0,12.38.254.31,美国 卡森纽曼学院
12.38.254.32,12.44.221.127,美国 ATT用户
12.44.221.128,12.44.221.255,美国 斯波丁尔大学
12.44.222.0,12.45.205.143,美国 ATT用户
12.45.205.144,12.45.205.159,美国 AAA AI SOFTWARE SOLUTIONS
12.45.205.160,12.107.33.191,美国 ATT用户
12.5.176.240,12.5.176.255,美国 Friends University
12.5.177.0,12.6.207.255,美国 ATT用户
12.6.208.0,12.6.223.255,哈佛大学  
12.6.224.0,12.6.229.255,美国 ATT用户
12.6.230.0,12.6.231.255,美国 Marlboro College
12.6.232.0,12.11.138.255,美国 ATT用户
121.125.69.188,121.125.69.191,英国  
121.125.69.192,121.232.240.255,欧洲  
121.232.241.0,121.232.241.255,英国 剑桥大学King’s学院
121.232.242.0,124.51.68.55,欧洲  
121.63.163.144,121.63.163.147,法国  
121.63.163.148,121.63.163.151,德国  
121.63.163.152,121.63.163.155,欧洲  
121.63.163.156,121.63.163.159,塞拉利昂  
121.63.163.160,121.125.69.187,欧洲  
124.51.68.56,124.51.68.63,法国  
124.51.68.64,125.8.121.183,欧洲  
125.8.121.184,125.8.121.191,英国  
125.8.121.192,126.255.255.255,欧洲  
127.0.0.0,127.255.255.255,IANA保留地址  
128.0.0.0,128.1.255.255,美国  
128.10.0.0,128.10.255.255,美国 Purdue大学
128.100.0.0,128.100.255.255,加拿大 多伦多大学
128.101.0.0,128.101.255.255,美国  
128.102.0.0,128.102.255.255,
128.103.0.0,128.103.255.255,哈佛大学  
128.104.0.0,128.107.252.255,美国 The University of Wisconsin—Madison
128.107.253.0,128.107.253.255,美国 CISCO公司(圣何塞)
128.107.254.0,128.108.255.255,
128.109.0.0,128.109.255.255,美国  
128.11.0.0,128.11.255.255,美国  
128.110.0.0,128.110.255.255,美国 盐湖城犹他大学
128.111.0.0,128.111.255.255,美国 加州大学圣．巴巴拉分校
128.112.0.0,128.112.255.255,美国 Princeton University
128.113.0.0,128.113.255.255,美国  
128.114.0.0,128.114.255.255,美国 加利福尼亚大学
128.115.0.0,128.117.255.255,美国  
128.118.0.0,128.118.255.255,美国 宾夕法尼亚州立大学
128.119.0.0,128.119.255.255,美国 University of Massachusetts
128.12.0.0,128.12.255.255,美国 Stanford University
128.120.0.0,128.120.255.255,美国  
128.121.0.0,128.121.255.255,美国 科罗拉多州
128.122.0.0,128.122.255.255,美国 纽约大学
128.123.0.0,128.123.255.255,美国 新墨西哥州立大学
128.124.0.0,128.124.255.255,
128.125.0.0,128.125.255.255,美国 南加州大学
128.126.0.0,128.129.255.255,
128.13.0.0,128.15.255.255,美国  
128.130.0.0,128.131.255.255,奥地利  
128.132.0.0,128.133.255.255,
128.134.0.0,128.134.124.255,韩国  
128.134.125.0,128.134.135.255,韩国 汉城
